Alcohol,Flavanoids,Color Intensity,Proline,class
14.23,3.06,5.64,1065,1
13.2,2.76,4.38,1050,1
13.16,3.24,5.68,1185,1
14.37,3.49,7.8,1480,1
13.24,2.69,4.32,735,1
14.2,3.39,6.75,1450,1
14.39,2.52,5.25,1290,1
14.06,2.51,5.05,1295,1
14.83,2.98,5.2,1045,1
13.86,3.15,7.22,1045,1
14.1,3.32,5.75,1510,1
14.12,2.43,5,1280,1
13.75,2.76,5.6,1320,1
14.75,3.69,5.4,1150,1
14.38,3.64,7.5,1547,1
13.63,2.91,7.3,1310,1
14.3,3.14,6.2,1280,1
13.83,3.4,6.6,1130,1
14.19,3.93,8.7,1680,1
13.64,3.03,5.1,845,1
14.06,3.17,5.65,780,1
12.93,2.41,4.5,770,1
13.71,2.88,3.8,1035,1
12.85,2.37,3.93,1015,1
13.5,2.61,3.52,845,1
13.05,2.68,3.58,830,1
13.39,2.94,4.8,1195,1
13.3,2.19,3.95,1285,1
13.87,2.97,4.5,915,1
14.02,2.33,4.7,1035,1
13.73,3.25,5.7,1285,1
13.58,3.19,6.9,1515,1
13.68,2.69,3.84,990,1
13.76,2.74,5.4,1235,1
13.51,2.53,4.2,1095,1
13.48,2.98,5.1,920,1
13.28,2.68,4.6,880,1
13.05,2.43,4.25,1105,1
13.07,2.64,3.7,1020,1
14.22,3.04,5.1,760,1
13.56,3.29,6.13,795,1
13.41,2.68,4.28,1035,1
13.88,3.56,5.43,1095,1
13.24,2.63,4.36,680,1
13.05,3,5.04,885,1
14.21,2.65,5.24,1080,1
14.38,3.17,4.9,1065,1
13.9,3.39,6.1,985,1
14.1,2.92,6.2,1060,1
13.94,3.54,8.9,1260,1
13.05,3.27,7.2,1150,1
13.83,2.99,5.6,1265,1
13.82,3.74,7.05,1190,1
13.77,2.79,6.3,1375,1
13.74,2.9,5.85,1060,1
13.56,2.78,6.25,1120,1
14.22,3,6.38,970,1
13.29,3.23,6,1270,1
13.72,3.67,6.8,1285,1
12.37,0.57,1.95,520,2
12.33,1.09,3.27,680,2
12.64,1.41,5.75,450,2
13.67,1.79,3.8,630,2
12.37,3.1,4.45,420,2
12.17,1.75,2.95,355,2
12.37,2.65,4.6,678,2
13.11,3.18,5.3,502,2
12.37,2,4.68,510,2
13.34,1.3,3.17,750,2
12.21,1.28,2.85,718,2
12.29,1.02,3.05,870,2
13.86,2.86,3.38,410,2
13.49,1.84,3.74,472,2
12.99,2.89,3.35,985,2
11.96,2.14,3.21,886,2
11.66,1.57,3.8,428,2
13.03,2.03,4.6,392,2
11.84,1.32,2.65,500,2
12.33,1.85,3.4,750,2
12.7,2.55,2.57,463,2
12,2.26,2.5,278,2
12.72,2.53,3.9,714,2
12.08,1.58,2.2,630,2
13.05,1.59,4.8,515,2
11.84,2.21,3.05,520,2
12.67,1.94,2.62,450,2
12.16,1.69,2.45,495,2
11.65,1.61,2.6,562,2
11.64,1.69,2.8,680,2
12.08,1.59,1.74,625,2
12.08,1.5,2.4,480,2
12,1.25,3.6,450,2
12.69,1.46,3.05,495,2
12.29,2.25,2.15,290,2
11.62,2.26,3.25,345,2
12.47,2.27,2.6,937,2
11.81,0.99,2.5,625,2
12.29,2.5,2.9,428,2
12.37,3.75,4.5,660,2
12.29,2.99,2.3,406,2
12.08,2.17,3.3,710,2
12.6,1.36,2.45,562,2
12.34,2.11,2.8,438,2
11.82,1.64,2.06,415,2
12.51,1.92,2.94,672,2
12.42,1.84,2.7,315,2
12.25,2.03,3.4,510,2
12.72,1.76,3.3,488,2
12.22,2.04,2.7,312,2
11.61,2.92,2.65,680,2
11.46,2.58,2.9,562,2
12.52,2.27,2,325,2
11.76,2.03,3.8,607,2
11.41,2.01,3.08,434,2
12.08,2.29,2.9,385,2
11.03,2.17,1.9,407,2
11.82,1.6,1.95,495,2
12.42,2.09,2.06,345,2
12.77,1.25,3.4,372,2
12,1.64,1.28,564,2
11.45,2.79,3.25,625,2
11.56,5.08,6,465,2
12.42,2.13,2.08,365,2
13.05,2.65,2.6,380,2
11.87,3.03,2.8,380,2
12.07,2.65,2.76,378,2
12.43,3.15,3.94,352,2
11.79,2.24,3,466,2
12.37,2.45,2.12,342,2
12.04,1.75,2.6,580,2
12.86,1.25,4.1,630,3
12.88,1.22,5.4,530,3
12.81,1.09,5.7,560,3
12.7,1.2,5,600,3
12.51,0.58,5.45,650,3
12.6,0.66,7.1,695,3
12.25,0.47,3.85,720,3
12.53,0.6,5,515,3
13.49,0.48,5.7,580,3
12.84,0.6,4.92,590,3
12.93,0.5,4.6,600,3
13.36,0.5,5.6,780,3
13.52,0.52,4.35,520,3
13.62,0.8,4.4,550,3
12.25,0.78,8.21,855,3
13.16,0.55,4,830,3
13.88,0.34,4.9,415,3
